model,avg_generation_time,avg_gpu_memory_utilization,avg_gpu_utilization,avg_virtual_memory_used
gpt5_combined,8.675995294253031,,,
hpc-coder_combined,5.103160866816839,33741.003858243464,0.4602297226094975,1103578.7946666665
magicoder_combined,6.901359908600647,15415.905326230672,0.5600737546468838,-215838.71999999988
sonnet_combined,,,,
starcoder_combined,53.771749863684185,31472.12836642269,0.9247782062007982,-18252013.568
